Account ID,,,,,,,,,,,,,
43546666-87bf-47d5-ac3c-735186a6dfe1,,,,,,,,,,,,,
Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,MX,YouTube Music Ad Views,8,0.0017064,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,PH,YouTube Music Ad Views,2,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,SV,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,TR,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,US,YouTube Music Ad Views,27,0.0583632,80,100
2023-05,2023-07,Leila Mendes,,Quédate,,QM42K2355071,YouTube Music,MX,YouTube Music Ad Views,2,0.0007,80,100
2023-05,2023-07,,,Quédate,,QM42K2355071,YouTube Music,PE,YouTube Music Ad Views,2,0,80,100
2023-05,2023-07,,,Quédate,,QM42K2355071,YouTube Music,US,YouTube Music Ad Views,5,0.0113584,80,100
2023-05,2023-07,Leila Mendes,,Déjenme,,QZS632379385,YouTube Music,CO,YouTube Music Ad Views,2,0,80,100
2023-05,2023-07,,,Déjenme,,QZS632379385,YouTube Music,US,YouTube Music Ad Views,4,0.0117648,80,100
2023-05,2023-07,,,Déjenme,,QZS632379385,YouTube Music,VE,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,Leila Mendes,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,EC,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,GT,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,MX,YouTube Music Ad Views,1,0.0004232,80,100
2023-05,2023-07,,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,SK,YouTube Music Ad Views,1,0.00076,80,100
2023-05,2023-07,,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,US,YouTube Music Ad Views,4,0.0121104,80,100
2023-05,2023-07,Leila Mendes,,Otro Mundo,,QZMHL2318427,YouTube Music,MX,YouTube Music Ad Views,1,0,80,100
2023-05,2023-07,,,Otro Mundo,,QZMHL2318427,YouTube Music,US,YouTube Music Ad Views,4,0.0085424,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Boomplay,TZ,Unknown Stream,5,0.0031682,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Apple Music,US,Unknown Stream,5,0.0300224,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Apple Music,US,Unknown Stream,7,0.0330024,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Apple Music,US,Unknown Stream,3,0.0164176,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Apple Music,US,Unknown Stream,5,0.0267048,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Apple Music,US,Unknown Stream,8,0.0395808,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Apple Music,US,Unknown Stream,9,0.0501488,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Apple Music,US,Unknown Stream,5,0.0300224,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Apple Music,US,Unknown Stream,15,0.0952368,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Apple Music,US,Unknown Stream,6,0.0340152,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Tidal,ES,Sub Stream,1,0.0053872,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Amazon Music,US,Sub Stream,1,0.0057328,80,100
2023-05,2023-07,,,Quizás Podemos,,QZMHK2399859,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,A Ver,,QM42K2309623,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,Sin Tiempo,,QM42K2355776,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,Sé Que,,QZMHN2381628,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,Tú y Yo,,QZS652388451,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,Quédate,,QM42K2355071,YouTube Music,US,YouTube Music Sub Views,2,0.02312,80,100
2023-05,2023-07,,,Déjenme,,QZS632379385,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,La Vida es Una Muerte Que Viene,,QZS642379955,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,,Otro Mundo,,QZMHL2318427,YouTube Music,US,YouTube Music Sub Views,1,0.01156,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Facebook,,Unknown Stream,1,0.0010009,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,CL,Unknown Stream,2,0.002448,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,DE,Unknown Stream,6,0.0167255,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,GB,Unknown Stream,4,0.0122613,80,100
2023-05,2023-07,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Facebook,IN,Unknown Stream,8,0.0026633,80,100
