Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-07-04	2025-07-04	2025-02	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	3	100	Song	OU	0	0.00004043	0.00000000
2025-07-04	2025-07-04	2025-02	Facebook	Nuve	Khmer	QZFYW2139618	195920986432	5	100	Song	US	0	0.00006738	0.00000000
2025-07-03	2025-07-03	2025-05	Apple Music	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00813296	0.00000000
2025-07-03	2025-07-03	2025-05	Apple Music	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	PH	0	0.00304523	0.00000000
2025-06-18	2025-06-18	2025-04	Amazon Prime (Streaming)	The Face	Weirdness Implied (feat. Hailey Burgin)	QZFYW2139636	195920981253	1	100	Song	GB	0	0.00191474	0.00000000
2025-06-18	2025-06-18	2025-04	Amazon Prime (Streaming)	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	1	100	Song	ES	0	0.00110027	0.00000000
2025-06-18	2025-06-18	2025-04	Amazon Prime (Streaming)	Nuve	Diminished	QZFYW2139614	195920988948	1	100	Song	US	0	0.00213362	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	The Face	La Piel de la Memoria	QZFYW2139641	195920981253	1	100	Song	US	0	0.00425202	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	US	0	0.00397402	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	Nuve	Khmer	QZFYW2139618	195920986432	4	100	Song	GB	0	0.03030745	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	PH	0	0.00302598	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	Nuve	Dalat Fi (feat. Tammy)	QZFYW2139617	195920986432	2	100	Song	US	0	0.01582408	0.00000000
2025-06-01	2025-06-01	2025-04	Apple Music	Nuve	Sama Sama	QZFYW2139616	195920986432	6	100	Song	US	0	0.04747224	0.00000000
2025-05-31	2025-05-31	2025-04	iTunes Match	Nuve	Dalat Fi (feat. Tammy)	QZFYW2139617	195920986432	1	100	Song	US	0	0.00081760	0.00000000
2025-05-31	2025-05-31	2025-04	iTunes Match	Nuve	Sama Sama	QZFYW2139616	195920986432	1	100	Song	US	0	0.00081760	0.00000000
2025-05-31	2025-05-31	2025-04	Apple Music	The Face	Dr. Caligari	QZPLR2080228	195920977126	1	100	Song	IT	0	0.00511126	0.00000000
2025-05-31	2025-05-31	2025-04	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	1	100	Song	FR	0	0.00466699	0.00000000
2025-05-30	2025-05-30	2025-04	Apple Music	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	1	100	Song	JP	0	0.00272620	0.00000000
2025-05-24	2025-05-24	2025-04	YouTube (Red)	The Face	Anomie	QZFYW2139631	195920981253	1	100	Song	PE	0	0.00306931	0.00000000
2025-05-24	2025-05-24	2025-04	YouTube (Ads)	The Face	Anesthesia	QZPLR2080226	195920977126	1	100	Song	US	0	0.00271032	0.00000000
2025-05-16	2025-05-16	2025-03	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	2	100	Song	US	0	0.00620029	0.00000000
